Year	TerrYr	Terr	n	Tract	Include	ContinuityNum
2006	029506	0295	5	Demo	TRUE	1
2006	028006	0280	4	Demo	TRUE	1
2006	011706	0117	7	Demo	TRUE	2
2006	007106	0071	5	Demo	TRUE	3
2006	015706	0157	8	Demo	TRUE	1
2006	006306	0063	7	Demo	TRUE	2
2006	006606	0066	4	Demo	TRUE	1
2006	007606	0076	5	Demo	TRUE	2
2006	015506	0155	4	Demo	NA	2
2006	010306	0103	5	Demo	TRUE	2
2006	008206	0082	4	Demo	TRUE	4
2006	031806	0318	7	Demo	TRUE	1
2006	011006	0110	6	Demo	TRUE	3
2006	030306	0303	8	Demo	TRUE	1
2006	008106	0081	6	Demo	TRUE	2
2006	008506	0085	7	Demo	TRUE	3
2006	007706	0077	2	Demo	TRUE	3
2006	015306	0153	4	Demo	TRUE	1
2006	018606	0186	8	Demo	TRUE	1
2006	005506	0055	3	Demo	TRUE	3
2006	032806	0328	5	Demo	TRUE	1
2006	006906	0069	2	Demo	TRUE	2
2006	006106	0061	6	Demo	TRUE	3
2006	045306	0453	2	Demo	TRUE	1
2006	030506	0305	5	Demo	TRUE	1
2006	003206	0032	4	Demo	TRUE	4
2006	032206	0322	6	Demo	TRUE	1
2006	001006	0010	6	Demo	TRUE	3
2006	006806	0068	8	Demo	TRUE	2
2006	028306	0283	3	Demo	TRUE	1
2006	026606	0266	3	Demo	TRUE	2
2006	022406	0224	8	Demo	TRUE	1
2006	032606	0326	4	Demo	TRUE	1
2006	020506	0205	6	Demo	TRUE	2
2006	004406	0044	5	Demo	TRUE	2
2006	005906	0059	7	Demo	TRUE	1
2006	029406	0294	8	Demo	TRUE	1
2006	003906	0039	6	Demo	TRUE	1
2006	015906	0159	4	Demo	TRUE	1
2006	032906	0329	4	Demo	TRUE	1
